County,Year,Population,PercentChng_1960,Source
Napa County,1986,103600,0.5723,DOF_E4
Napa County,1987,104600,0.5875,DOF_E4
Napa County,1988,105500,0.6012,DOF_E4
Napa County,1989,107100,0.6254,DOF_E4
Napa County,1990,110765,0.6811,Census
Napa County,1991,111747,0.6960,DOF_E8
Napa County,1992,113457,0.7219,DOF_E8
Napa County,1993,115079,0.7465,DOF_E8
Napa County,1994,116039,0.7611,DOF_E8
Napa County,1995,116817,0.7729,DOF_E8
Napa County,1996,117739,0.7869,DOF_E8
Napa County,1997,119130,0.8080,DOF_E8
Napa County,1998,120545,0.8295,DOF_E8
Napa County,1999,121913,0.8503,DOF_E8
Napa County,2000,123782,0.8786,DOF_E8
Napa County,2001,125396,0.9031,DOF_E8
Napa County,2002,127064,0.9284,DOF_E8
Napa County,2003,128683,0.9530,DOF_E8
Napa County,2004,129814,0.9702,DOF_E8
Napa County,2005,130472,0.9801,DOF_E8
Napa County,2006,131330,0.9932,DOF_E8
Napa County,2007,132537,1.0115,DOF_E8
Napa County,2008,133969,1.0332,DOF_E8
Napa County,2009,135225,1.0523,DOF_E8
Napa County,2010,136484,1.0714,DOF_E5
Napa County,2011,136913,1.0779,DOF_E5
Napa County,2012,138074,1.0955,DOF_E5
Napa County,2013,138844,1.1072,DOF_E5
Napa County,2014,140254,1.1286,DOF_E5
Napa County,2015,140898,1.1384,DOF_E5
Napa County,2016,142028,1.1555,DOF_E5
San Francisco County,1960,740316,,Census
San Francisco County,1961,747200,0.0093,DOF_E6
San Francisco County,1962,752800,0.0169,DOF_E6
San Francisco County,1963,748900,0.0116,DOF_E6
San Francisco County,1964,753000,0.0171,DOF_E6
San Francisco County,1965,739800,-0.0007,DOF_E6
San Francisco County,1966,733800,-0.0088,DOF_E6
San Francisco County,1967,732300,-0.0108,DOF_E6
San Francisco County,1968,728000,-0.0166,DOF_E6
San Francisco County,1969,719900,-0.0276,DOF_E6
San Francisco County,1970,715674,-0.0333,Census
San Francisco County,1971,712800,-0.0372,DOF_E4
San Francisco County,1972,709300,-0.0419,DOF_E4
San Francisco County,1973,705300,-0.0473,DOF_E4
San Francisco County,1974,702200,-0.0515,DOF_E4
San Francisco County,1975,697100,-0.0584,DOF_E4
San Francisco County,1976,691300,-0.0662,DOF_E4
San Francisco County,1977,686700,-0.0724,DOF_E4
San Francisco County,1978,683000,-0.0774,DOF_E4
San Francisco County,1979,680100,-0.0813,DOF_E4
San Francisco County,1980,678974,-0.0829,Census
San Francisco County,1981,684000,-0.0761,DOF_E4
San Francisco County,1982,691200,-0.0663,DOF_E4
San Francisco County,1983,699800,-0.0547,DOF_E4
San Francisco County,1984,708700,-0.0427,DOF_E4
San Francisco County,1985,720400,-0.0269,DOF_E4
San Francisco County,1986,732900,-0.0100,DOF_E4
San Francisco County,1987,736700,-0.0049,DOF_E4
San Francisco County,1988,733300,-0.0095,DOF_E4
San Francisco County,1989,727500,-0.0173,DOF_E4
San Francisco County,1990,723959,-0.0221,Census
San Francisco County,1991,724593,-0.0212,DOF_E8
San Francisco County,1992,728487,-0.0160,DOF_E8
San Francisco County,1993,736629,-0.0050,DOF_E8
San Francisco County,1994,742795,0.0033,DOF_E8
San Francisco County,1995,741615,0.0018,DOF_E8
San Francisco County,1996,741971,0.0022,DOF_E8
San Francisco County,1997,746762,0.0087,DOF_E8
San Francisco County,1998,753810,0.0182,DOF_E8
San Francisco County,1999,762359,0.0298,DOF_E8
San Francisco County,2000,773312,0.0446,DOF_E8
San Francisco County,2001,780614,0.0544,DOF_E8
San Francisco County,2002,782765,0.0573,DOF_E8
San Francisco County,2003,782599,0.0571,DOF_E8
San Francisco County,2004,781308,0.0554,DOF_E8
San Francisco County,2005,780187,0.0539,DOF_E8
San Francisco County,2006,781295,0.0554,DOF_E8
San Francisco County,2007,787127,0.0632,DOF_E8
San Francisco County,2008,795002,0.0739,DOF_E8
San Francisco County,2009,800239,0.0809,DOF_E8
San Francisco County,2010,805235,0.0877,DOF_E5
San Francisco County,2011,815854,0.1020,DOF_E5
San Francisco County,2012,826103,0.1159,DOF_E5
San Francisco County,2013,839564,0.1341,DOF_E5
San Francisco County,2014,848186,0.1457,DOF_E5
San Francisco County,2015,857508,0.1583,DOF_E5
San Francisco County,2016,866583,0.1706,DOF_E5
San Mateo County,1960,444387,,Census
San Mateo County,1961,464300,0.0448,DOF_E6
San Mateo County,1962,479900,0.0799,DOF_E6
San Mateo County,1963,489700,0.1020,DOF_E6
San Mateo County,1964,503100,0.1321,DOF_E6
San Mateo County,1965,514000,0.1566,DOF_E6
San Mateo County,1966,525700,0.1830,DOF_E6
San Mateo County,1967,540000,0.2152,DOF_E6
San Mateo County,1968,552900,0.2442,DOF_E6
San Mateo County,1969,557100,0.2536,DOF_E6
San Mateo County,1970,557361,0.2542,Census
San Mateo County,1971,558800,0.2575,DOF_E4
San Mateo County,1972,561200,0.2629,DOF_E4
San Mateo County,1973,564600,0.2705,DOF_E4
San Mateo County,1974,570400,0.2836,DOF_E4
San Mateo County,1975,578100,0.3009,DOF_E4
San Mateo County,1976,580900,0.3072,DOF_E4
San Mateo County,1977,581400,0.3083,DOF_E4
San Mateo County,1978,583100,0.3121,DOF_E4
San Mateo County,1979,584400,0.3151,DOF_E4
San Mateo County,1980,587329,0.3217,Census
San Mateo County,1981,589600,0.3268,DOF_E4
San Mateo County,1982,592900,0.3342,DOF_E4
San Mateo County,1983,599600,0.3493,DOF_E4
San Mateo County,1984,607900,0.3680,DOF_E4
San Mateo County,1985,614400,0.3826,DOF_E4
San Mateo County,1986,618600,0.3920,DOF_E4
San Mateo County,1987,622600,0.4010,DOF_E4
San Mateo County,1988,629800,0.4172,DOF_E4
San Mateo County,1989,638300,0.4364,DOF_E4
San Mateo County,1990,649623,0.4618,Census
San Mateo County,1991,651093,0.4651,DOF_E8
San Mateo County,1992,657980,0.4806,DOF_E8
San Mateo County,1993,664394,0.4951,DOF_E8
San Mateo County,1994,668711,0.5048,DOF_E8
San Mateo County,1995,673274,0.5151,DOF_E8
